state,avg_delivery_days
AC,20.32967032967033
AL,23.983758700696054
AM,25.926829268292682
AP,27.753086419753085
BA,18.7882797731569
CE,20.525506638714187
DF,12.53464930701386
ES,15.202146690518784
GO,14.936438833260775
MA,21.139130434782608
MG,11.517928593413359
MS,15.114216281895505
MT,17.503846153846155
PA,23.313854853911405
PB,20.098807495741056
PE,17.761660978384526
PI,18.927480916030536
PR,11.489687995769435
RJ,14.69824980670556
RN,18.8604206500956
RO,19.28205128205128
RR,27.82608695652174
RS,14.719301083966995
SC,14.539022611232676
SE,20.978666666666665
SP,8.26444582414524
TO,17.003225806451614
