category,total_revenue,orders,avg_price
agro_industry_and_commerce,72530.47,182,342.12485849056606
air_conditioning,55024.96,253,185.26922558922558
art,24202.64,202,115.8021052631579
arts_and_craftmanship,1814.01,23,75.58375
audio,50738.4,350,139.00931506849315
auto,594363.1,3897,139.65298402255638
baby,412117.47000000003,2885,134.10916693784577
bed_bath_table,1050936.61,9417,93.2508083407276
books_general_interest,46856.88,512,84.73215189873417
books_imported,4639.85,53,77.33083333333335
books_technical,19149.03,260,71.18598513011152
cds_dvds_musicals,730.0,12,52.142857142857146
christmas_supplies,8800.82,128,57.52169934640523
cine_photo,6949.36,65,95.19671232876712
computers,222963.13,181,1098.3405418719212
computers_accessories,919640.54,6689,116.49867494299468
consoles_games,158000.22,1062,138.84026362038665
construction_tools_construction,145509.39,748,156.29365198711065
construction_tools_lights,41308.0,244,135.4360655737705
construction_tools_safety,40544.52,167,208.9923711340206
cool_stuff,637258.51,3632,167.4352364687336
costruction_tools_garden,25769.74,194,107.37391666666667
costruction_tools_tools,15903.95,97,154.40728155339806
diapers_and_hygiene,1567.59,27,40.19461538461538
drinks,22505.9,297,58.762140992167105
dvds_blu_ray,5999.39,59,93.74046875
electronics,160376.63999999998,2550,57.93953757225433
fashio_female_clothing,2889.44,39,57.7888
fashion_bags_accessories,153656.9,1864,74.95458536585366
fashion_childrens_clothes,569.85,8,71.23125
fashion_male_clothing,10797.82,112,81.80166666666666
fashion_shoes,23767.47,240,89.68856603773585
fashion_sport,2144.5,27,69.1774193548387
fashion_underwear_beach,9541.55,121,72.83625954198473
fixed_telephony,59622.99,217,224.9924150943396
flowers,1110.04,29,33.63757575757575
food,29393.41,450,57.63413725490196
food_drink,15270.47,227,54.537392857142855
furniture_bedroom,20278.78,95,184.35254545454544
furniture_decor,736282.47,6449,87.49643137254901
furniture_living_room,69427.26,422,136.93739644970412
furniture_mattress_and_upholstery,4368.08,38,114.94947368421053
garden_tools,486432.45,3518,111.54149277688603
health_beauty,1263138.54,8836,129.8590048319112
home_appliances,83195.6,764,102.83757725587145
home_appliances_2,113585.39,234,473.2724583333333
home_comfort_2,760.27,24,25.342333333333332
home_confort,58828.74,397,134.6195423340961
home_construction,83207.97,490,137.5338347107438
housewares,634542.6,5884,90.79161539562169
industry_commerce_and_business,39745.61,235,147.75319702602232
kitchen_dining_laundry_garden_furniture,46457.37,248,164.74244680851064
la_cuisine,2054.99,13,146.785
luggage_accessories,140429.98,1034,128.5988827838828
market_place,28378.47,280,91.2490996784566
music,6034.35,38,158.79868421052632
musical_instruments,191523.78,628,281.2390308370044
nan,185791.72,2248,76.96425849212925
office_furniture,275224.49,1273,161.80158142269252
party_supplies,4485.18,39,104.30651162790699
perfumery,400212.94,3162,116.5103173216885
pet_shop,214591.41,1710,110.10334017444843
security_and_services,283.28999999999996,2,141.64499999999998
signaling_and_security,21509.23,140,108.08658291457286
small_appliances,191571.48,630,280.48532942898976
small_appliances_home_oven_and_coffee,47445.71,75,624.2856578947368
sports_leisure,993656.51,7720,114.213391954023
stationery,231300.21,2311,91.60404356435643
tablets_printing_image,7528.41,79,90.70373493975903
telephony,323839.4,4199,71.17349450549452
toys,484769.9,3886,117.51997575757576
watches_gifts,1206075.33,5624,200.97905849025165
