year_month,total_revenue,orders,units
2016-09,267.36,4,6
2016-10,49634.35,324,367
2016-12,10.9,1,1
2017-01,121087.9,800,966
2017-02,248563.02,1780,1962
2017-03,376010.7,2682,3020
2017-04,360738.17,2404,2693
2017-05,509639.63,3700,4182
2017-06,436550.89,3245,3619
2017-07,501299.7,4026,4565
2017-08,578588.99,4331,4964
2017-09,626752.17,4285,4865
2017-10,667869.15,4631,5369
2017-11,1017758.83,7544,8729
2017-12,746717.15,5673,6335
2018-01,955658.74,7269,8263
2018-02,853591.21,6728,7772
2018-03,986867.05,7211,8265
2018-04,998893.07,6939,7986
2018-05,997066.66,6873,7935
2018-06,865956.24,6167,7084
2018-07,897496.14,6292,7115
2018-08,854760.45,6512,7250
2018-09,145.0,16,1
2018-10,0.0,4,0
